kiosk,city,state,geohash,patient_month,patient_counts
kiosk 123,Pune,Maharashtra,tek92es,December 2024,33
kiosk 123,Pune,Maharashtra,tek92es,November 2024,372
kiosk 123,Pune,Maharashtra,tek92es,October 2024,388
kiosk 123,Pune,Maharashtra,tek92es,September 2024,468
kiosk 123,Pune,Maharashtra,tek92es,August 2024,303
kiosk 123,Pune,Maharashtra,tek92es,July 2024,136
kiosk 123,Pune,Maharashtra,tek92es,June 2024,7
kiosk 123,Pune,Maharashtra,tek92es,May 2024,287
kiosk 123,Pune,Maharashtra,tek92es,April 2024,87
kiosk 123,Pune,Maharashtra,tek92es,March 2024,4
kiosk 123,Pune,Maharashtra,tek92es,February 2024,111
kiosk 123,Pune,Maharashtra,tek92es,January 2024,1
New Kiosk2,City,State,Not available,December 2024,2
final testing1234,City,State,Not available,December 2024,1
